fork,seed,fork_step,branch,rng,step,ret
seed5_at124k,5,124245,sham,101,134246,180.88
seed5_at124k,5,124245,sham,101,144246,98.79
seed5_at124k,5,124245,sham,101,154246,308.59
seed5_at124k,5,124245,sham,101,164246,52.43
seed5_at124k,5,124245,sham,101,174246,28.33
seed5_at124k,5,124245,sham,101,184246,59.7
seed5_at124k,5,124245,sham,101,194246,133.29
seed5_at124k,5,124245,sham,101,204246,156.19
seed5_at124k,5,124245,sham,101,214246,422.79
seed5_at124k,5,124245,sham,101,224246,492.36
seed5_at124k,5,124245,sham,101,234246,323.3
seed5_at124k,5,124245,sham,202,124246,126.12
seed5_at124k,5,124245,sham,202,134246,463.06
seed5_at124k,5,124245,sham,202,144246,405.06
seed5_at124k,5,124245,sham,202,154246,165.09
seed5_at124k,5,124245,sham,202,164246,154.04
seed5_at124k,5,124245,sham,202,174246,57.78
seed5_at124k,5,124245,sham,202,184246,155.11
seed5_at124k,5,124245,sham,202,194246,317.05
seed5_at124k,5,124245,sham,202,204246,49.21
seed5_at124k,5,124245,sham,202,214246,421.06
seed5_at124k,5,124245,sham,202,224246,136.16
seed5_at124k,5,124245,sham,202,234246,485.45
seed5_at124k,5,124245,sham,303,124246,126.81
seed5_at124k,5,124245,sham,303,134246,71.24
seed5_at124k,5,124245,sham,303,144246,6.28
seed5_at124k,5,124245,sham,303,154246,115.21
seed5_at124k,5,124245,sham,303,164246,87.42
seed5_at124k,5,124245,sham,303,174246,100.5
seed5_at124k,5,124245,sham,303,184246,229.06
seed5_at124k,5,124245,sham,303,194246,356.55
seed5_at124k,5,124245,sham,303,204246,269.08
seed5_at124k,5,124245,sham,303,214246,429.3
seed5_at124k,5,124245,sham,303,224246,88.55
seed5_at124k,5,124245,sham,303,234246,407.23
seed5_at124k,5,124245,oracle,101,124246,128.35
seed5_at124k,5,124245,oracle,101,134246,31.27
seed5_at124k,5,124245,oracle,101,144246,535.48
seed5_at124k,5,124245,oracle,101,154246,252.39
seed5_at124k,5,124245,oracle,101,164246,646.21
seed5_at124k,5,124245,oracle,101,174246,339.65
seed5_at124k,5,124245,oracle,101,184246,428.59
seed5_at124k,5,124245,oracle,101,194246,369.21
seed5_at124k,5,124245,oracle,101,204246,401.34
seed5_at124k,5,124245,oracle,101,214246,394.76
seed5_at124k,5,124245,oracle,101,224246,389.15
seed5_at124k,5,124245,oracle,101,234246,502.73
seed5_at124k,5,124245,oracle,202,124246,126.96
seed5_at124k,5,124245,oracle,202,134246,45.02
seed5_at124k,5,124245,oracle,202,144246,15.06
seed5_at124k,5,124245,oracle,202,154246,351.49
seed5_at124k,5,124245,oracle,202,164246,480.85
seed5_at124k,5,124245,oracle,202,174246,387.08
seed5_at124k,5,124245,oracle,202,184246,481.65
seed5_at124k,5,124245,oracle,202,194246,579.73
seed5_at124k,5,124245,oracle,202,204246,527.02
seed5_at124k,5,124245,oracle,202,214246,405.36
seed5_at124k,5,124245,oracle,202,224246,437.68
seed5_at124k,5,124245,oracle,202,234246,359.34
seed5_at124k,5,124245,oracle,303,124246,130.02
seed5_at124k,5,124245,oracle,303,134246,48.65
seed5_at124k,5,124245,oracle,303,144246,388.26
seed5_at124k,5,124245,oracle,303,154246,152.23
seed5_at124k,5,124245,oracle,303,164246,466.01
seed5_at124k,5,124245,oracle,303,174246,528.3
seed5_at124k,5,124245,oracle,303,184246,581.82
seed5_at124k,5,124245,oracle,303,194246,464.17
seed5_at124k,5,124245,oracle,303,204246,515.71
seed5_at124k,5,124245,oracle,303,214246,434.16
seed5_at124k,5,124245,oracle,303,224246,529.91
seed5_at124k,5,124245,oracle,303,234246,411.92
seed5_at124k,5,124245,mf,101,124246,126.18
seed5_at124k,5,124245,mf,101,134246,38.34
seed5_at124k,5,124245,mf,101,144246,6.08
seed5_at124k,5,124245,mf,101,154246,433.59
seed5_at124k,5,124245,mf,101,164246,402.47
seed5_at124k,5,124245,mf,101,174246,474.2
seed5_at124k,5,124245,mf,101,184246,494.21
seed5_at124k,5,124245,mf,101,194246,538.95
seed5_at124k,5,124245,mf,101,204246,339.71
seed5_at124k,5,124245,mf,101,214246,383.81
seed5_at124k,5,124245,mf,101,224246,509.06
seed5_at124k,5,124245,mf,101,234246,560.65
seed5_at124k,5,124245,mf,202,124246,124.63
seed5_at124k,5,124245,mf,202,134246,26.03
seed5_at124k,5,124245,mf,202,144246,103.7
seed5_at124k,5,124245,mf,202,154246,29.76
seed5_at124k,5,124245,mf,202,164246,384.78
seed5_at124k,5,124245,mf,202,174246,458.98
seed5_at124k,5,124245,mf,202,184246,375.6
seed5_at124k,5,124245,mf,202,194246,590.74
seed5_at124k,5,124245,mf,202,204246,472.46
