kind,reward_base,discount_rate,discount_horizon,eta,settling_tolerance,settle_threshold,settled_fraction,settling_p10,settling_p50,settling_p90,saturated_fraction,mean_reward,tail_reward,lqr_edge_reward_raw,ceiling_raw,lqr_mean_reward,tube_mean_reward,lqr_reward_exceeds_tube
r3,lyapunov,0.1,10.0,7.9,0.01,4.605170185988091,1.0,2.717099999999812,2.7829999999998045,3.0207999999997783,0.8060862581870907,9.082788162559519,9.513303260850261,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.561593699302392,True
r3,lyapunov,0.1,10.0,7.92,0.01,4.605170185988091,1.0,2.716999999999812,2.7829999999998045,3.0197999999997784,0.8073596320183991,9.087458496196295,9.515620673833226,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.563803309684872,True
r3,lyapunov,0.1,10.0,7.94,0.01,4.605170185988091,1.0,2.716099999999812,2.7819999999998046,3.0197999999997784,0.8086689415529223,9.09215692936072,9.51792818166033,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.566004117430523,True
r3,lyapunov,0.1,10.0,7.96,0.01,4.605170185988091,1.0,2.715999999999812,2.7819999999998046,3.0197999999997784,0.8100423103844808,9.09682838828128,9.520226237583218,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.568194752268834,True
r3,lyapunov,0.1,10.0,7.98,0.01,4.605170185988091,1.0,2.715099999999812,2.7809999999998047,3.0197999999997784,0.8113156842157893,9.101534272117544,9.522513351301205,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.570376055001967,True
r3,lyapunov,0.1,10.0,8.0,0.01,4.605170185988091,1.0,2.714999999999812,2.7809999999998047,3.0187999999997785,0.8126124943752813,9.106245960801827,9.524789506146318,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.572549003065514,True
r3,lyapunov,0.1,10.0,8.02,0.01,4.605170185988091,1.0,2.7140999999998123,2.7809999999998047,3.0187999999997785,0.8139499275036248,9.110954595198208,9.527052284201371,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.57471272272298,True
r3,lyapunov,0.1,10.0,8.040000000000001,0.01,4.605170185988091,1.0,2.713999999999812,2.779999999999805,3.0187999999997785,0.8153670441477926,9.11568999742045,9.529299163424227,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.57686633451562,True
r3,lyapunov,0.1,10.0,8.06,0.01,4.605170185988091,1.0,2.7130999999998124,2.779999999999805,3.0187999999997785,0.816757599620019,9.12041369668226,9.531524762464352,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.579008169470844,True
r3,lyapunov,0.1,10.0,8.08,0.01,4.605170185988091,1.0,2.7129999999998122,2.778999999999805,3.0187999999997785,0.8180606594670267,9.125166286469007,9.533740810757319,-5.78894481850045e-05,-5.78894481850045e-05,9.756975432048616,9.581141165871703,True
