fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed5_at124k,5,124245,guarded_k3,303,124246,129.17,0.210938,0.0,0.0,0.015257,0.153088
seed5_at124k,5,124245,guarded_k3,303,134246,55.18,0.21875,0.0,0.0,0.006949,0.092146
seed5_at124k,5,124245,guarded_k3,303,144246,6.47,0.167969,0.0,0.0,0.001641,0.07514
seed5_at124k,5,124245,guarded_k3,303,154246,83.48,0.152344,0.0,0.0,0.000227,0.038047
seed5_at124k,5,124245,guarded_k3,303,164246,397.61,0.203125,0.0,0.0,-0.001577,0.038553
seed5_at124k,5,124245,guarded_k3,303,174246,253.79,0.199219,0.0,0.0,-0.002816,0.043993
seed5_at124k,5,124245,guarded_k3,303,184246,319.94,0.167969,0.0,0.0,0.002165,0.029818
seed5_at124k,5,124245,guarded_k3,303,194246,408.41,0.113281,0.0,0.0,-0.003088,0.033499
seed5_at124k,5,124245,guarded_k3,303,204246,488.38,0.15625,0.0,0.0,-0.003819,0.034657
seed5_at124k,5,124245,guarded_k3,303,214246,422.14,0.144531,0.0,0.0,-0.002317,0.030645
seed5_at124k,5,124245,guarded_k3,303,224246,481.05,0.125,0.0,0.0,-0.002816,0.034239
seed5_at124k,5,124245,guarded_k3,303,234246,478.2,0.144531,0.0,0.0,5.9e-05,0.02397
seed11_at356k,11,355856,guarded_k3,101,355857,415.02,0.21875,0.0,0.0,0.00157,0.044192
seed11_at356k,11,355856,guarded_k3,101,365857,791.27,0.1875,0.0,0.0,0.000465,0.054541
seed11_at356k,11,355856,guarded_k3,101,375857,1091.76,0.164062,0.0,0.0,-0.003036,0.057548
seed11_at356k,11,355856,guarded_k3,101,385857,1001.29,0.203125,0.0,0.0,-0.004188,0.043841
seed11_at356k,11,355856,guarded_k3,101,395857,1125.14,0.175781,0.0,0.0,0.000719,0.049509
seed11_at356k,11,355856,guarded_k3,101,405857,728.24,0.15625,0.0,0.0,0.000778,0.049838
seed11_at356k,11,355856,guarded_k3,101,415857,867.6,0.183594,0.0,0.0,0.001198,0.034462
seed11_at356k,11,355856,guarded_k3,101,425857,891.21,0.183594,0.0,0.0,-0.004683,0.044065
seed11_at356k,11,355856,guarded_k3,101,435857,430.7,0.183594,0.0,0.0,0.0025,0.054229
seed11_at356k,11,355856,guarded_k3,101,445857,1149.13,0.136719,0.0,0.0,0.000912,0.041654
seed11_at356k,11,355856,guarded_k3,101,455857,984.82,0.125,0.0,0.0,-0.002535,0.035607
seed11_at356k,11,355856,guarded_k3,101,465857,615.92,0.167969,0.0,0.0,0.000832,0.04404
seed11_at356k,11,355856,guarded_k3,202,355857,425.79,0.175781,0.0,0.0,-0.002266,0.044401
seed11_at356k,11,355856,guarded_k3,202,365857,1001.77,0.222656,0.0,0.0,0.001865,0.049066
seed11_at356k,11,355856,guarded_k3,202,375857,391.12,0.222656,0.0,0.0,-0.001783,0.045566
seed11_at356k,11,355856,guarded_k3,202,385857,1122.47,0.15625,0.0,0.0,0.000551,0.054451
seed11_at356k,11,355856,guarded_k3,202,395857,905.96,0.183594,0.0,0.0,0.001111,0.051626
seed11_at356k,11,355856,guarded_k3,202,405857,711.02,0.214844,0.0,0.0,0.003323,0.051637
seed11_at356k,11,355856,guarded_k3,202,415857,670.28,0.144531,0.0,0.0,0.000702,0.049108
seed11_at356k,11,355856,guarded_k3,202,425857,1108.44,0.191406,0.0,0.0,-0.001433,0.045106
seed11_at356k,11,355856,guarded_k3,202,435857,896.97,0.171875,0.0,0.0,-0.002108,0.045902
seed11_at356k,11,355856,guarded_k3,202,445857,1096.96,0.148438,0.0,0.0,0.000945,0.060222
seed11_at356k,11,355856,guarded_k3,202,455857,942.07,0.160156,0.0,0.0,0.000391,0.039499
