seed,step,distribution,n,n_nonterminal,terminal_frac,gate_batch_size,gate_chunks,fd_anchor_nonfinite_frac,fd_anchor_nonfinite_nonterminal_frac,oracle_increment_nonfinite_frac,eps_quad_nonfinite_frac,eps_quad_finite_n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_nonfinite_frac,eps_re_finite_n,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_nonfinite_frac,eps_gate_finite_n,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_nonfinite_frac,eps_fd_finite_n,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_nonfinite_frac,rho_med,rho_p95,innovation_rho_med,mismatch_fraction_mean,innovation_valid_frac,lambda_mean,gate_fallback_frac,gate_fallback_nonterminal_frac,reanchor_nonfinite_frac,reanchor_nonfinite_nonterminal_frac,transport_seconds_mean,model_seconds_mean,long_frac
3,100000,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1574,-0.0143,0.3072,0.6704,0.6046,0.0,1999,0.1213,-0.0084,0.2306,0.4712,0.466,0.0,1999,0.0619,-0.0035,0.1504,0.1916,0.2379,0.0,1999,0.0372,0.0035,0.0687,0.1492,0.1431,0.0,0.3826,1.5807,0.4889,0.782959,1.0,0.6615,0.0,0.0,0.0,0.0,0.008224,0.013369,0.1145
3,100000,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1673,-0.0233,0.2437,0.8889,0.6995,0.0,1999,0.1283,-0.0184,0.1854,0.7063,0.5363,0.0,1999,0.0822,-0.009,0.1112,0.2605,0.3436,0.0,1999,0.0742,-0.0005,0.0667,0.2608,0.3102,0.0,0.1797,1.0133,0.2378,0.781369,0.9980000257492065,0.8363,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,124221,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1243,-0.009,0.2789,0.4055,0.4472,0.0,1999,0.0941,-0.0067,0.2156,0.3184,0.3383,0.0,1999,0.0562,0.0001,0.1244,0.1895,0.202,0.0,1999,0.0318,0.003,0.0686,0.1252,0.1144,0.0,0.2637,1.2611,0.3385,0.782871,0.9994999766349792,0.7324,0.0,0.0,0.0,0.0,0.008196,0.013066,0.105
3,124221,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1527,-0.0346,0.2433,0.8302,0.6813,0.0,1999,0.1207,-0.0265,0.1835,0.6571,0.5385,0.0,1999,0.0826,-0.0128,0.1173,0.3062,0.3685,0.0,1999,0.0685,0.0003,0.0708,0.1941,0.3058,0.0,0.1998,0.9993,0.2623,0.781369,0.9980000257492065,0.83,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,150858,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1397,0.0387,0.2677,0.4744,0.7292,0.0,1999,0.1046,0.0292,0.2119,0.3536,0.5461,0.0,1999,0.0667,0.0249,0.1218,0.2141,0.3481,0.0,1999,0.0336,0.0008,0.0451,0.1228,0.1755,0.0,0.2986,0.7749,0.3828,0.782306,0.9984999895095825,0.7848,0.0,0.0,0.0,0.0,0.008186,0.013118,0.106
3,150858,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1344,-0.0291,0.1999,0.6009,0.5596,0.0,1999,0.1051,-0.0219,0.1611,0.5194,0.4377,0.0,1999,0.0851,-0.0106,0.114,0.326,0.3545,0.0,1999,0.0765,0.0004,0.0813,0.2346,0.3186,0.0,0.2005,0.9287,0.2635,0.781369,0.9980000257492065,0.8313,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,177959,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1294,0.0487,0.2807,0.4014,0.7382,0.0,1999,0.0984,0.0357,0.2209,0.3149,0.5614,0.0,1999,0.0668,0.0269,0.1316,0.2133,0.3809,0.0,1999,0.0241,0.0008,0.0425,0.1057,0.1376,0.0,0.2793,0.6959,0.3628,0.780802,0.9990000128746033,0.8,0.0,0.0,0.0,0.0,0.008191,0.013144,0.1085
3,177959,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1284,-0.0137,0.1599,0.58,0.5098,0.0,1999,0.0994,-0.0103,0.1253,0.4496,0.3947,0.0,1999,0.0865,-0.0017,0.0932,0.2381,0.3434,0.0,1999,0.0848,0.0,0.0882,0.1967,0.3367,0.0,0.1966,0.8757,0.2586,0.781369,0.9980000257492065,0.8384,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
3,207864,onpolicy,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1332,-0.0075,0.2891,0.561,0.5831,0.0,1999,0.1012,-0.0059,0.2229,0.4303,0.4429,0.0,1999,0.0651,-0.0067,0.1478,0.2356,0.2847,0.0,1999,0.0328,0.0002,0.0655,0.1243,0.1437,0.0,0.2107,0.715,0.2701,0.784399,1.0,0.8299,0.0,0.0,0.0,0.0,0.008195,0.012977,0.1015
3,207864,ou,2000,1999,0.0005000000237487257,256,8,0.0,0.0,0.0,0.0,1999,0.1036,-0.011,0.2116,0.4277,0.5202,0.0,1999,0.0802,-0.0082,0.1602,0.3371,0.4027,0.0,1999,0.0702,0.0002,0.1229,0.2435,0.3527,0.0,1999,0.0599,0.0022,0.0773,0.2252,0.3009,0.0,0.2157,0.7973,0.2767,0.781369,0.9980000257492065,0.837,0.0,0.0,0.0,0.0,0.008193,0.013242,0.1105
