mode,label,seed,step,ret
fork_guarded,learned+guard,3,340000,5.3134
fork_guarded,learned+guard,3,350000,6.9574
fork_guarded,learned+guard,3,360000,5.0608
fork_guarded,learned+guard,3,370000,13.6003
fork_guarded,learned+guard,3,380000,6.2134
fork_guarded,learned+guard,3,390000,10.1547
fork_guarded,learned+guard,3,400000,9.6745
fork_guarded,learned+guard,3,410000,5.2219
fork_guarded,learned+guard,3,420000,5.563
fork_guarded,learned+guard,3,430000,5.13
fork_guarded,learned+guard,3,440000,18.646
fork_guarded,learned+guard,3,450000,15.0985
fork_guarded,learned+guard,3,460000,5.0539
fork_guarded,learned+guard,3,470000,4.1855
fork_guarded,learned+guard,3,480000,8.7207
fork_guarded,learned+guard,3,490000,25.5264
fork_guarded,learned+guard,3,500000,5.1997
fork_guarded,learned+guard,4,10000,2.897
fork_guarded,learned+guard,4,20000,36.6595
fork_guarded,learned+guard,4,30000,21.1785
fork_guarded,learned+guard,4,40000,0.2701
fork_guarded,learned+guard,4,50000,6.6579
fork_guarded,learned+guard,4,60000,14.6466
fork_guarded,learned+guard,4,70000,22.9722
fork_guarded,learned+guard,4,80000,13.7752
fork_guarded,learned+guard,4,90000,10.3146
fork_guarded,learned+guard,4,100000,6.9205
fork_guarded,learned+guard,4,110000,3.9096
fork_guarded,learned+guard,4,120000,15.9459
fork_guarded,learned+guard,4,130000,15.4796
fork_guarded,learned+guard,4,140000,0.8219
fork_guarded,learned+guard,4,150000,4.9716
fork_guarded,learned+guard,4,160000,17.1215
fork_guarded,learned+guard,4,170000,11.06
fork_guarded,learned+guard,4,180000,16.0987
fork_guarded,learned+guard,4,190000,13.8925
fork_guarded,learned+guard,4,200000,24.7733
fork_guarded,learned+guard,4,210000,4.6779
fork_guarded,learned+guard,4,220000,10.6855
fork_guarded,learned+guard,4,230000,33.3974
fork_guarded,learned+guard,4,240000,3.2725
fork_guarded,learned+guard,4,250000,19.2335
fork_guarded,learned+guard,4,260000,11.3127
fork_guarded,learned+guard,4,270000,2.3007
fork_guarded,learned+guard,4,280000,10.5418
fork_guarded,learned+guard,4,290000,12.9398
fork_guarded,learned+guard,4,300000,7.6644
fork_guarded,learned+guard,4,310000,3.7379
fork_guarded,learned+guard,4,320000,13.2847
fork_guarded,learned+guard,4,330000,16.6763
fork_guarded,learned+guard,4,340000,11.5647
fork_guarded,learned+guard,4,350000,11.0235
fork_guarded,learned+guard,4,360000,11.4762
fork_guarded,learned+guard,4,370000,0.148
fork_guarded,learned+guard,4,380000,6.9962
fork_guarded,learned+guard,4,390000,35.1795
fork_guarded,learned+guard,4,400000,15.9403
fork_guarded,learned+guard,4,410000,10.9139
fork_guarded,learned+guard,4,420000,14.4096
fork_guarded,learned+guard,4,430000,11.9478
fork_guarded,learned+guard,4,440000,30.6936
fork_guarded,learned+guard,4,450000,19.4235
fork_guarded,learned+guard,4,460000,14.7593
fork_guarded,learned+guard,4,470000,6.5787
fork_guarded,learned+guard,4,480000,6.1977
fork_guarded,learned+guard,4,490000,14.5506
fork_guarded,learned+guard,4,500000,15.9485
fork_guarded,learned+guard,5,10000,5.1445
fork_guarded,learned+guard,5,20000,7.2013
fork_guarded,learned+guard,5,30000,13.7473
fork_guarded,learned+guard,5,40000,6.2996
fork_guarded,learned+guard,5,50000,6.0349
fork_guarded,learned+guard,5,60000,10.3751
fork_guarded,learned+guard,5,70000,16.9863
fork_guarded,learned+guard,5,80000,18.5176
fork_guarded,learned+guard,5,90000,8.1995
fork_guarded,learned+guard,5,100000,32.453
fork_guarded,learned+guard,5,110000,6.303
fork_guarded,learned+guard,5,120000,19.6193
fork_guarded,learned+guard,5,130000,6.5587
fork_guarded,learned+guard,5,140000,12.8563
fork_guarded,learned+guard,5,150000,3.5876
fork_guarded,learned+guard,5,160000,18.5923
fork_guarded,learned+guard,5,170000,9.6587
fork_guarded,learned+guard,5,180000,4.1907
fork_guarded,learned+guard,5,190000,7.9417
fork_guarded,learned+guard,5,200000,12.2015
fork_guarded,learned+guard,5,210000,3.7164
fork_guarded,learned+guard,5,220000,12.6166
fork_guarded,learned+guard,5,230000,12.1958
fork_guarded,learned+guard,5,240000,4.31
fork_guarded,learned+guard,5,250000,11.449
fork_guarded,learned+guard,5,260000,11.3464
fork_guarded,learned+guard,5,270000,4.1834
fork_guarded,learned+guard,5,280000,9.1019
fork_guarded,learned+guard,5,290000,8.9708
fork_guarded,learned+guard,5,300000,12.4537
