mode,family,buffer,step,reward_mean,reward_std,n
mbq_vhead_quad,oracle+quad+Vhead,300k,1920000,996.96,320.10,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1960000,985.82,317.07,12
mbq_vhead_quad,oracle+quad+Vhead,300k,2000000,938.98,308.17,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,40000,144.37,43.77,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,80000,208.05,51.73,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,120000,280.19,96.99,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,160000,355.56,117.95,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,200000,400.54,121.01,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,240000,427.43,117.52,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,280000,497.45,101.85,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,320000,491.32,103.96,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,360000,573.93,158.94,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,400000,674.47,156.88,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,440000,700.73,219.40,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,480000,781.22,147.72,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,520000,860.35,152.75,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,560000,864.52,175.16,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,600000,960.96,166.28,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,640000,998.00,198.99,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,680000,1003.94,187.19,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,720000,1090.08,214.89,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,760000,1090.48,175.87,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,800000,1103.19,206.74,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,840000,1139.43,163.77,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,880000,1193.14,129.17,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,920000,1188.31,159.95,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,960000,1241.46,128.79,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1000000,1202.94,164.60,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1040000,1222.44,157.13,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1080000,1263.49,128.84,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1120000,1256.53,125.26,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1160000,1295.63,113.91,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1200000,1299.01,123.81,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1240000,1310.91,116.68,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1280000,1314.63,141.06,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1320000,1310.54,111.91,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1360000,1287.39,124.78,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1400000,1325.06,144.38,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1440000,1335.59,123.31,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1480000,1329.81,105.41,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1520000,1342.54,115.37,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1560000,1334.80,182.79,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1600000,1278.06,180.59,12
