env_id,algo,mode,seed,max_stage,final_stage,best_probe_success,num_stages
cartpole-two_poles-v2,ct_td3,final_mf,5,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,0,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,1,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,2,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,3,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,4,0,0,0.0,6
cartpole-two_poles-v2,ppo,final_mf,5,0,0,0.0,6
cartpole-two_poles-v2,sac,final_mf,0,3,3,1.0,6
cartpole-two_poles-v2,sac,final_mf,1,1,1,1.0,6
cartpole-two_poles-v2,sac,final_mf,2,0,0,0.5,6
cartpole-two_poles-v2,sac,final_mf,3,4,4,1.0,6
cartpole-two_poles-v2,sac,final_mf,4,0,0,0.3,6
cartpole-two_poles-v2,sac,final_mf,5,2,2,1.0,6
