seed,step,distribution,n,eps_quad_rms,eps_quad_bias,eps_quad_p95,eps_quad_p99,eps_quad_rel,eps_re_rms,eps_re_bias,eps_re_p95,eps_re_p99,eps_re_rel,eps_gate_rms,eps_gate_bias,eps_gate_p95,eps_gate_p99,eps_gate_rel,eps_fd_rms,eps_fd_bias,eps_fd_p95,eps_fd_p99,eps_fd_rel,rho_med,rho_p95,lambda_mean,model_seconds_mean
5,124245,onpolicy,2000,0.6068,0.3717,1.1828,1.4876,1.0759,0.4715,0.2769,0.9431,1.1804,0.8359,0.2476,0.0234,0.2885,0.7607,0.439,0.2693,-0.004,0.3688,0.9179,0.4775,0.5877,0.9854,0.4296,0.008185
5,124245,ou,2000,0.4473,0.0995,0.7786,1.2097,0.5605,0.356,0.0747,0.59,0.9498,0.4461,0.2561,0.0338,0.2567,1.4164,0.3209,0.367,0.0089,0.5061,1.852,0.4599,0.0878,0.8258,0.7837,0.008193
5,150602,onpolicy,2000,0.2384,0.0193,0.5953,0.7447,0.8237,0.1847,0.0179,0.4585,0.5876,0.6381,0.0907,0.0027,0.1642,0.4116,0.3134,0.1328,0.001,0.2955,0.6101,0.4586,0.3676,3.2509,0.4928,0.0082
5,150602,ou,2000,0.3594,0.0736,0.819,1.6379,0.4518,0.2767,0.056,0.6596,1.2334,0.3478,0.358,0.0043,0.2999,0.9048,0.4501,0.4996,-0.0166,0.6706,2.3618,0.628,0.0872,0.8432,0.7886,0.008193
5,178445,onpolicy,2000,0.0869,0.008,0.1295,0.4135,0.3064,0.0696,0.0052,0.0928,0.3351,0.2451,0.1006,0.0046,0.081,0.3727,0.3546,0.1534,0.0045,0.2742,0.6831,0.5405,0.132,0.7643,0.852,0.008192
5,178445,ou,2000,0.1228,0.0006,0.2452,0.404,0.2795,0.0989,0.0011,0.1957,0.3259,0.225,0.2745,0.0113,0.1026,0.497,0.6246,0.3174,0.0059,0.3167,1.0075,0.7222,0.0816,0.8458,0.7827,0.008193
5,208144,onpolicy,2000,0.0567,-0.0064,0.167,0.2606,0.3353,0.0448,-0.0049,0.1357,0.2132,0.2652,0.0411,-0.0062,0.0435,0.142,0.2431,0.0575,-0.001,0.1044,0.2271,0.3405,0.1209,1.2465,0.8383,0.008189
5,208144,ou,2000,0.0512,-0.0016,0.0909,0.1461,0.2782,0.0397,-0.0008,0.0635,0.1152,0.2154,0.1262,0.0058,0.0456,0.239,0.6853,0.1326,0.0081,0.1103,0.2869,0.7201,0.0834,0.8354,0.7767,0.008193
5,237735,onpolicy,2000,0.1129,0.0057,0.208,0.5435,0.421,0.0898,0.0042,0.1515,0.4398,0.3349,0.0892,0.003,0.0757,0.2925,0.3327,0.0966,0.0035,0.1041,0.4131,0.3602,0.1887,1.0218,0.7173,0.008179
5,237735,ou,2000,0.0376,-0.0089,0.0732,0.164,0.3026,0.029,-0.0068,0.058,0.1325,0.2331,0.047,-0.0018,0.0348,0.2159,0.3778,0.057,0.0015,0.0588,0.2693,0.4582,0.0817,0.8517,0.7677,0.008193
5,267390,onpolicy,2000,0.1093,0.0246,0.2224,0.3518,0.4541,0.0839,0.0192,0.172,0.2259,0.3484,0.0976,-0.0003,0.0589,0.295,0.4055,0.1055,0.0031,0.0702,0.3923,0.4383,0.3005,1.3856,0.5526,0.008204
5,267390,ou,2000,0.0317,-0.0037,0.0654,0.1468,0.2538,0.0243,-0.0029,0.0513,0.1156,0.1945,0.042,-0.0001,0.0366,0.1638,0.3364,0.0485,0.0009,0.0577,0.2047,0.3884,0.0736,0.8682,0.7657,0.008193
5,296891,onpolicy,2000,0.0865,-0.0102,0.0785,0.4806,0.2551,0.0677,-0.0072,0.062,0.3544,0.1997,0.0955,-0.0025,0.0561,0.1479,0.2814,0.1118,0.0021,0.1548,0.2905,0.3297,0.0656,1.0023,0.8855,0.008199
5,296891,ou,2000,0.0349,-0.0048,0.0737,0.1496,0.2794,0.0265,-0.0034,0.0555,0.1172,0.2117,0.0514,0.0007,0.0314,0.1409,0.4114,0.0573,0.0025,0.0567,0.2021,0.4582,0.0671,0.8844,0.7598,0.008193
5,326535,onpolicy,2000,0.0722,-0.0015,0.0601,0.4142,0.3306,0.0559,-0.0014,0.0477,0.3388,0.256,0.0458,0.0004,0.0446,0.1555,0.2097,0.0755,0.0049,0.1319,0.267,0.3457,0.0977,0.7257,0.8812,0.008152
5,326535,ou,2000,0.0378,-0.0075,0.0713,0.1644,0.2506,0.0292,-0.0055,0.0522,0.1296,0.1936,0.0715,-0.0002,0.0271,0.2538,0.4735,0.0761,0.0017,0.0607,0.2713,0.5043,0.0701,0.8828,0.7587,0.008193
5,356413,onpolicy,2000,0.0911,0.0047,0.1301,0.2748,0.3084,0.0707,0.0037,0.1057,0.2137,0.2391,0.0949,0.0008,0.0569,0.2105,0.3211,0.1102,0.0051,0.1334,0.3622,0.3729,0.0965,1.0441,0.7399,0.008216
5,356413,ou,2000,0.0428,-0.0082,0.0923,0.2075,0.2925,0.0327,-0.0058,0.0711,0.1555,0.2233,0.0695,0.0002,0.0341,0.1801,0.4746,0.0748,0.0036,0.0699,0.2155,0.5109,0.065,0.9307,0.7481,0.008193
5,385696,onpolicy,2000,0.0673,-0.0091,0.0682,0.1056,0.2567,0.0519,-0.0064,0.0535,0.0897,0.1981,0.0407,-0.004,0.0511,0.1794,0.1552,0.0745,0.0022,0.1475,0.331,0.2842,0.0749,0.789,0.8529,0.008201
5,385696,ou,2000,0.0382,-0.0079,0.075,0.184,0.2762,0.0286,-0.0054,0.059,0.1379,0.2071,0.0415,-0.0013,0.0317,0.1151,0.3005,0.0499,0.0009,0.0683,0.1572,0.3614,0.0824,0.9236,0.7458,0.008193
11,100000,onpolicy,2000,0.1112,-0.0185,0.1975,0.5293,0.4321,0.0914,-0.0128,0.1524,0.3961,0.3549,0.1197,-0.0094,0.0953,0.3998,0.4651,0.1353,0.0021,0.125,0.4253,0.5255,0.2258,0.6671,0.7331,0.008168
11,100000,ou,2000,0.3583,-0.0418,0.3141,0.5891,0.5032,0.2301,-0.03,0.2541,0.4794,0.323,0.4492,0.0058,0.1226,0.3514,0.6307,0.451,0.0161,0.1485,0.4669,0.6332,0.1667,0.6479,0.781,0.008193
11,125589,onpolicy,2000,0.0294,-0.0032,0.0665,0.1001,0.22,0.0221,-0.0025,0.0492,0.0786,0.1651,0.0292,-0.001,0.0511,0.0995,0.218,0.0552,0.0025,0.099,0.2283,0.4125,0.2051,0.4007,0.8152,0.008161
11,125589,ou,2000,0.4226,-0.0005,0.654,1.2764,0.5526,0.3239,0.0012,0.5021,1.0166,0.4235,0.3642,-0.012,0.2743,0.3985,0.4762,0.3666,-0.007,0.224,0.6198,0.4794,0.155,0.7215,0.7808,0.008193
11,152440,onpolicy,2000,0.0836,-0.0076,0.133,0.2996,0.2435,0.1018,-0.004,0.1042,0.2216,0.2966,0.2555,0.008,0.0812,0.1591,0.7444,0.2625,0.0105,0.1506,0.3509,0.7649,0.1449,0.3605,0.8725,0.008198
11,152440,ou,2000,0.4623,-0.0692,0.5102,1.3859,0.4378,0.3515,-0.0523,0.3391,1.0999,0.3328,0.447,-0.0251,0.1909,0.3774,0.4233,0.4482,-0.0086,0.1515,0.4194,0.4244,0.1371,0.8038,0.7792,0.008193
