seed,distribution,checkpoint_step,direct_return,direct_return_std,logged_final_return,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle,L_minus_O_tgt_rms,L_minus_O_tgt_bias,L_minus_O_tgt_p95,L_minus_O_tgt_p99,Q0_vs_learned_rms,Q0_vs_learned_bias,Q0_vs_learned_p95,Q0_vs_learned_p99,Q1_vs_learned_rms,Q1_vs_learned_bias,Q1_vs_learned_p95,Q1_vs_learned_p99,Q0_vs_oracle_rms,Q0_vs_oracle_bias,Q0_vs_oracle_p95,Q0_vs_oracle_p99,Q1_vs_oracle_rms,Q1_vs_oracle_bias,Q1_vs_oracle_p95,Q1_vs_oracle_p99,action_gap_rms,action_gap_p95,abs_eps_vs_gap_corr
6,replay_pi,497497,997.08,29.43,1703.02,4000,0.107,-0.0071,0.0992,0.2983,0.4603,0.0727,0.9611,1.0,32.5858,32.5908,0.107,-0.0071,0.0992,0.2983,0.7743,0.0735,0.4321,0.6984,0.7723,0.0935,0.42,0.7041,0.7823,0.0664,0.4734,0.7659,0.7782,0.0863,0.4404,0.7576,0.5416,1.2185,0.0349
6,onpolicy,497497,997.08,29.43,1703.02,4000,0.1066,-0.0033,0.1166,0.3175,0.3565,0.0505,0.9771,0.9999,23.2772,23.2817,0.1066,-0.0032,0.1166,0.3175,0.4386,0.1153,0.7177,1.4401,0.4463,0.2077,0.8273,1.4102,0.4637,0.112,0.8096,1.5566,0.4629,0.2044,0.9018,1.4694,,,
6,ou,497497,997.08,29.43,1703.02,4000,0.2779,0.0354,0.6707,0.983,0.8857,0.1265,0.8726,0.9997,21.3242,21.2231,0.2778,0.0353,0.6707,0.983,1.1279,0.096,1.418,2.3515,1.7145,0.6572,3.3086,4.0955,1.1346,0.1313,1.5548,2.3734,1.8012,0.6925,3.4473,4.1501,,,
7,replay_data,496543,1494.11,92.83,1570.64,4000,0.0591,-0.006,0.0522,0.1999,0.3343,0.0255,0.9784,1.0,36.6757,36.6792,0.0591,-0.006,0.0522,0.1999,0.6461,0.0077,0.2602,0.5247,0.6499,0.0164,0.2938,0.5566,0.6478,0.0017,0.2783,0.5284,0.6516,0.0104,0.3014,0.6225,,,
7,replay_pi,496543,1494.11,92.83,1570.64,4000,0.0592,-0.005,0.0494,0.165,0.3383,0.0232,0.9806,1.0,36.6892,36.6921,0.0592,-0.005,0.0494,0.165,0.6488,0.0153,0.278,0.5552,0.6522,0.0243,0.317,0.6089,0.6508,0.0103,0.2948,0.5641,0.6536,0.0193,0.3212,0.646,0.4871,1.0587,0.0495
7,onpolicy,496543,1494.11,92.83,1570.64,4000,0.0291,-0.0019,0.0375,0.1775,0.1686,0.0132,0.9955,1.0,34.7436,34.746,0.0291,-0.0019,0.0375,0.1775,0.8052,0.1155,0.8037,1.5686,0.7755,0.054,0.6116,1.3,0.8066,0.1136,0.8642,1.5588,0.7761,0.0521,0.6047,1.2927,,,
7,ou,496543,1494.11,92.83,1570.64,4000,0.127,-0.0223,0.3096,0.4884,0.6811,0.123,0.8104,0.999,7.8477,7.8849,0.127,-0.0223,0.3096,0.4884,0.8357,-0.0996,0.762,3.805,0.4999,-0.0361,0.7447,2.0098,0.8229,-0.1219,0.7822,3.7878,0.4927,-0.0584,0.7408,2.0072,,,
8,replay_data,491113,1242.78,22.98,1259.0,4000,0.1078,-0.0107,0.1038,0.3301,0.3907,0.043,0.9721,1.0,20.0923,20.0993,0.1078,-0.0107,0.1038,0.3301,0.2575,-0.117,0.5056,0.7196,0.2644,-0.1026,0.5295,0.7652,0.2756,-0.1277,0.5225,0.7797,0.2885,-0.1133,0.5522,0.859,,,
8,replay_pi,491113,1242.78,22.98,1259.0,4000,0.1062,-0.0133,0.0978,0.2842,0.3773,0.0305,0.9762,1.0,20.149,20.1597,0.1062,-0.0133,0.0978,0.2842,0.2747,-0.1143,0.5403,0.8436,0.2807,-0.0997,0.5729,0.8619,0.2951,-0.1276,0.562,0.9247,0.3049,-0.113,0.6007,0.9438,0.7432,1.575,-0.057
8,onpolicy,491113,1242.78,22.98,1259.0,4000,0.1571,0.0037,0.2076,0.4333,0.5456,0.0605,0.933,0.9999,27.8596,27.8538,0.1571,0.0037,0.2076,0.4333,0.7196,-0.1714,0.5355,0.7746,0.7157,-0.1591,0.5626,0.7207,0.7306,-0.1678,0.5509,0.8333,0.7282,-0.1554,0.5738,0.7619,,,
