fork,seed,fork_step,branch,rng,step,ret,guard_clamp_frac,guard_cap_frac,guard_nonfinite_frac,guard_delta_med,guard_delta_mad
seed11_at356k,11,355856,guarded,202,395857,826.03,0.144531,0.0,0.0,-0.001435,0.048449
seed11_at356k,11,355856,guarded,202,405857,838.37,0.144531,0.0,0.0,0.003763,0.053655
seed11_at356k,11,355856,guarded,202,415857,827.3,0.109375,0.0,0.0,0.000906,0.046935
seed11_at356k,11,355856,guarded,202,425857,1535.93,0.09375,0.0,0.0,0.000494,0.06138
seed11_at356k,11,355856,guarded,202,435857,863.59,0.105469,0.0,0.0,-0.003178,0.05921
seed11_at356k,11,355856,guarded,202,445857,795.95,0.128906,0.0,0.0,0.000776,0.043458
seed11_at356k,11,355856,guarded,202,455857,903.26,0.09375,0.0,0.0,-0.002216,0.046922
seed11_at356k,11,355856,guarded,202,465857,1039.02,0.105469,0.0,0.0,5.3e-05,0.053312
seed11_at356k,11,355856,guarded,303,355857,431.87,0.136719,0.0,0.0,-0.001476,0.050387
seed11_at356k,11,355856,guarded,303,365857,719.57,0.144531,0.0,0.0,-0.000194,0.056398
seed11_at356k,11,355856,guarded,303,375857,820.5,0.117188,0.0,0.0,0.000529,0.038969
seed11_at356k,11,355856,guarded,303,385857,563.83,0.121094,0.0,0.0,-0.001592,0.040116
seed11_at356k,11,355856,guarded,303,395857,831.51,0.105469,0.0,0.0,0.00243,0.045081
seed11_at356k,11,355856,guarded,303,405857,803.56,0.113281,0.0,0.0,0.000971,0.03898
seed11_at356k,11,355856,guarded,303,415857,981.8,0.144531,0.0,0.0,0.000718,0.049277
seed11_at356k,11,355856,guarded,303,425857,919.61,0.152344,0.0,0.0,0.001691,0.053847
seed11_at356k,11,355856,guarded,303,435857,941.22,0.101562,0.0,0.0,0.001722,0.039736
seed11_at356k,11,355856,guarded,303,445857,810.51,0.105469,0.0,0.0,-0.003123,0.057316
seed11_at356k,11,355856,guarded,303,455857,842.51,0.113281,0.0,0.0,-0.000485,0.053271
seed11_at356k,11,355856,guarded,303,465857,563.07,0.082031,0.0,0.0,-0.005018,0.050553
