rollout/acrobot_xk_applied_torque,rollout/acrobot_xk_elbow_norm,rollout/acrobot_xk_elbow_rate_norm,rollout/acrobot_xk_energy_error_norm,rollout/acrobot_xk_homoclinic_capture,rollout/acrobot_xk_lyapunov,rollout/acrobot_xk_lyapunov_rate,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/alpha,train/critic_loss,train/fraction,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,eval/best_strict_capture_mean_max_duration,eval/best_strict_capture_success_rate,eval/mean_ep_length,eval/mean_reward,eval/std_reward,eval/strict_capture_mean_max_duration,eval/strict_capture_success_rate
,,,,,,,21,9260,200000,0.0003,-209664262144.0,0.05000000074505806,3.5231237672454324e+21,78246969344.0,190001,1305.6,582405.0399799601,,,,,,,
20.0,0.0573773650824049,2.04061127719911,0.15071872733125924,0.0,2600.163327166645,24660.564238036153,21,9335,202000,0.0003,-216763252736.0,0.05000000074505806,5.577422441396998e+20,74450345984.0,192001,1306.01,582866.1214573401,,,,,,,
20.0,0.09189357621019985,2.141773455722274,-0.040624070565790406,0.0,3151.165114967627,36677.61930648367,21,9411,204000,0.0003,-238458273792.0,0.05000000074505806,8.178840916279668e+20,74768867328.0,194001,1305.56,582396.70000243,,,,,,,
20.0,0.03772567037233092,2.012647423537113,0.16528261953366466,0.0,2580.184305662666,25078.212153602602,21,9486,206000,0.0003,-235107713024.0,0.05000000074505806,6.077672436381128e+20,84580720640.0,196001,1305.5,582318.04732787,,,,,,,
20.0,0.11115711088709178,2.1497893323001285,-0.03765418179303822,0.0,3129.608055534343,36758.1541332073,21,9562,208000,0.0003,-232438333440.0,0.05000000074505806,4.722903537125209e+21,82688131072.0,198001,1305.63,582500.01973075,,,,,,,
20.0,0.0027602010449430197,2.138737480315258,0.22232710929577712,0.0,2945.1236360343873,32644.824234906904,21,9638,210000,0.0003,-261546295296.0,0.05000000074505806,4.878365544462225e+21,86549331968.0,200001,1306.29,583158.32938714,,,,,,,
20.0,0.154060336994349,2.0520478072798594,-0.10740748486525398,0.0,2829.117414263753,28787.237776130896,21,9713,212000,0.0003,-260117495808.0,0.05000000074505806,7.781444692535379e+20,83890831360.0,202001,1306.37,583210.9812333,,,,,,,
20.0,-0.0327364554796155,2.218845002393845,0.23421134632286905,0.0,3298.295052003021,40565.485664091706,21,9789,214000,0.0003,-263181533184.0,0.05000000074505806,5.549159257510504e+21,88875859968.0,204001,1305.87,582715.56965513,,,,,,,
20.0,0.1961212353170183,1.9718459352521605,-0.10653687620765678,0.0,2426.122401096522,19760.094232734256,21,9864,216000,0.0003,-268801736704.0,0.05000000074505806,7.845995348944434e+20,91425390592.0,206001,1306.09,582893.63429263,,,,,,,
20.0,-0.059520409254722025,2.1604550326311953,0.21185641652232504,0.0,3283.022861903107,42784.443261965156,21,9939,218000,0.0003,-279571824640.0,0.05000000074505806,8.386043090885683e+20,91012120576.0,208001,1306.85,583760.14741332,,,,,,,
