arm,seed,stage,step,dataset,accel_corr,accel_nrmse,mass_rel_frob_err,coriolis_corr,coriolis_nrmse,gradV_combined_corr,gen_rmse,quad_corr
constraint,3,188000,186377,reference,0.3883710503578186,2.7347868051704323,0.19788913037147288,0.22527683186789021,2.334819897480919,0.4395957704067054,8.746133561180576,0.6524903774261475
constraint,3,188000,186377,policy,0.9325750470161438,0.3740338838928904,0.26212265628969256,0.3009861719035793,1.2144555930165586,0.5076956290016531,47.54787916080095,0.2682708501815796
constraint,3,188000,186377,best_policy,0.8977989554405212,0.45659867932672943,0.22856423689936656,0.6825223438914023,0.845689437347367,0.4836417167328418,45.99135670756856,0.27105915546417236
compliant,3,188000,182964,reference,0.4299827814102173,1.8927161037295428,0.4177138602545135,0.4027585293794636,1.162599786033616,0.6919761295930834,10.09653645749704,-0.1327112764120102
compliant,3,188000,182964,policy,0.9376509785652161,0.37563132200522226,0.42240302134785424,0.7538685772561762,0.848892904913727,0.25328119668573096,23.56649849038318,0.1934424787759781
compliant,3,188000,182964,best_policy,0.9097872972488403,0.44278062630135007,0.4251211690062126,0.8492534800356328,0.5299478334763246,0.7435102457604634,40.771670014119614,0.2425757348537445
constraint,4,100000,100000,reference,0.6053205728530884,1.5188177723965144,0.35076754306054886,0.006759743976345006,2.0652281447674943,0.6155431123875429,9.829165021075136,0.2060651183128357
constraint,4,100000,100000,policy,0.9486489295959473,0.34631409581991607,0.3307082358381747,0.6011529798361733,0.968685689542054,0.49068946088247395,29.38172944635697,0.2191416472196579
constraint,4,100000,100000,best_policy,0.9447604417800903,0.35582924452610204,0.3285584010235898,0.22058631372004456,1.4243748257989406,0.5651477431431391,33.072558034942396,0.35353419184684753
compliant,4,100000,100000,reference,0.48261475563049316,1.443138096609315,0.31534240427152116,-0.14220522627326362,1.917748348217629,0.3557741830092264,9.000766459118392,-0.37969470024108887
compliant,4,100000,100000,policy,0.9085506796836853,0.44524469199343686,0.3712944491096384,0.42233722397141116,1.0494500380433074,0.6969840157440089,31.62443748196544,0.23124530911445618
compliant,4,100000,100000,best_policy,0.9151664972305298,0.4390597529445839,0.3679258776316113,-0.13285374158321203,1.3988927302123986,0.7533870641423647,47.298668028222124,0.34466779232025146
constraint,4,188000,187078,reference,0.5397081971168518,1.860134920573686,0.3695565626925054,0.011520319890835249,2.1887040863478866,0.3993844461739823,11.015015005592272,0.34331437945365906
constraint,4,188000,187078,policy,0.8980037569999695,0.46051943995472805,0.3632116881043308,0.08861590425288794,2.3284025259896652,0.38981703446220994,43.82664105622737,-0.06360708922147751
constraint,4,188000,187078,best_policy,0.953819751739502,0.3165341422548056,0.3721579871527553,0.2956198777942624,1.457952707395069,0.47255673096510925,28.595656174457798,0.1640637367963791
compliant,4,188000,181205,reference,0.4705454707145691,1.5282075912724193,0.35229439122400735,0.05169194284078172,2.168472654074223,0.28448698951473284,7.979848557767123,-0.6866162419319153
compliant,4,188000,181205,policy,0.899867057800293,0.47712000423185047,0.38904623274175437,0.7985229008482587,0.6453797034582314,0.8001346528688265,43.49749132391108,0.03329148143529892
compliant,4,188000,181205,best_policy,0.9270591735839844,0.4105744517681315,0.5689195016948123,-0.016840360601521064,1.2740181270059114,0.7228683064999784,32.15001816988359,0.4975367784500122
constraint,5,100000,100000,reference,0.4028002619743347,2.8601133464832347,0.460025908941897,0.44786807571156523,1.1525680499592847,0.9818954192257116,15.149183092550613,0.3883448839187622
constraint,5,100000,100000,policy,0.8703358769416809,0.5615426215168549,0.427824521340278,0.7533214116857888,0.6782356829408683,0.8679301467207206,49.88158570856006,0.30117809772491455
constraint,5,100000,100000,best_policy,0.7831145524978638,0.8615137658982913,0.4307273574327526,0.4297052336142335,1.3929995109463718,0.8529306321782725,45.342527165523826,0.377977192401886
compliant,5,100000,100000,reference,0.4530097246170044,1.4941726480609179,0.29354030015379634,-0.008207492680253675,1.4939415468689814,0.9406132190149646,9.14307276043639,-0.25463759899139404
compliant,5,100000,100000,policy,0.7575832605361938,0.682051070020933,0.38987208563147346,0.07164279600263264,1.7407009503093085,0.8888229002790766,8.261965223108493,-0.24539974331855774
compliant,5,100000,100000,best_policy,0.900376558303833,0.460197906700284,0.3233073584619357,0.5727223141535763,0.8293865215166728,0.7619857612660289,42.02228075305607,0.46367722749710083
constraint,5,188000,188083,reference,0.42973268032073975,2.6354790946343587,0.4015885759909874,0.7294655660056011,0.8795253852553865,0.5513592640695235,11.309025540735641,0.8693065047264099
constraint,5,188000,188083,policy,0.9719616174697876,0.25896109559902425,0.5209584578646554,-0.03863942254440059,1.2914043663496617,0.4579155623521645,7.21591336278801,0.5028037428855896
constraint,5,188000,188083,best_policy,0.8827341794967651,0.5412346644977368,0.39231621211842016,0.6619474873068545,1.0000177927810494,0.7645125904549825,28.68970988778226,0.39066535234451294
compliant,5,188000,181232,reference,0.5361344814300537,1.272590677812674,0.2132920902984692,-0.058106147013476044,1.7480565012316984,0.9036877485289385,9.58764996600973,-0.3494522273540497
compliant,5,188000,181232,policy,0.9351884722709656,0.4179285264816289,0.21822793997254808,0.135339013586778,1.3467248037200006,0.76061928953465,27.685486058497293,0.26527684926986694
compliant,5,188000,181232,best_policy,0.8976346850395203,0.4675526991586798,0.22876775916650374,0.5593998882148226,0.97060677032582,0.7547410747853905,40.75001021659417,0.14041778445243835
constraint,6,100000,100000,reference,0.5759925842285156,1.7461074442184314,0.27833417870104765,0.606420921751299,0.7972669744978449,0.9883610714862242,6.387014473662319,0.9331185817718506
constraint,6,100000,100000,policy,0.9687837362289429,0.252313800879808,0.5912410414397559,-0.5293939768077909,1.534038700810148,0.7200525288182744,7.768272631617923,0.2398988902568817
