arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
moving,2000,heldout,22.65100948958263,26.67280975903052,13.715139479490588,0.9056805235800405,418.1484528356229,0.00048335397233909466,32.03336481796275,418.1484528356229,49.83715207070941,0.855017156725628,40.31385040283203,0.10227283090353012,1.1109340190887451,4.1154255867004395,74.6010971069336,0.14794921875,0.0029296875
fixed,3000,train,23.272488762828363,23.272488762828363,0.0,2.2391250037844825,427.9752230889653,0.002098005174906384,32.912269171698256,427.9752230889653,74.50047595893194,2.8099943752715966,36.885982513427734,0.01682773232460022,0.8881679773330688,1.3273950815200806,99.99443054199219,0.00830078125,0.0029296875
fixed,3000,heldout,23.616197227054457,23.616197227054457,0.0,3.27571522741969,432.10898286424697,0.002124766252142915,33.39834634259064,432.10898286424697,65.08357699763229,3.6560409467746955,37.47930145263672,0.021016579121351242,1.1154638528823853,1.741271734237671,91.83384704589844,0.017578125,0.0029296875
moving,3000,train,21.487339174800187,29.821548437836334,20.429902170384924,0.6995414700535632,396.7732551035721,0.0028873764285987417,30.387686343136803,396.7732551035721,50.89252587373162,0.9241652540063274,60.40489196777344,0.20793941617012024,2.2743003368377686,5.757842063903809,109.65975952148438,0.2216796875,0.0029296875
moving,3000,heldout,21.59087045483531,30.9218531875792,21.778018436306105,1.0409924798098076,398.4332822318754,0.0029231051020471082,30.53410168075061,398.4332822318754,59.9417923850277,0.9630718452316864,60.404518127441406,0.21860796213150024,2.3141438961029053,6.360412120819092,112.36224365234375,0.2421875,0.0029296875
fixed,4000,train,22.947092046751305,22.947092046751305,0.0,2.510436315597891,421.4150968695299,0.0015531126887853395,32.45208875237455,421.4150968695299,99.81026094999338,3.2665578089081206,47.27143859863281,0.017000194638967514,1.4377946853637695,1.529266357421875,146.22549438476562,0.010986328125,0.0029296875
fixed,4000,heldout,23.419000617185343,23.419000617185343,0.0,3.8706460290626064,426.73795998203497,0.0015774059505554998,33.119468252483244,426.73795998203497,86.77876708782036,4.350173297817101,47.97420120239258,0.024334264919161797,1.9010307788848877,2.0759189128875732,142.56295776367188,0.01953125,0.0029296875
moving,4000,train,20.30110605592522,34.76191151640387,28.105867090256456,0.6957015790134693,374.84751573704744,0.01781398687390089,28.71009398886947,374.84751573704744,53.431321743372386,0.8000871871935111,82.40574645996094,0.5611762404441833,6.134714603424072,7.828197956085205,110.14044952392578,0.3115234375,0.0029296875
moving,4000,heldout,20.46517138009926,36.33053795790905,29.810769879993966,1.0923018285019679,377.5609524717449,0.017986476627720707,28.942117333055062,377.5609524717449,67.07282766296136,0.8487223040845031,82.40516662597656,0.6093701124191284,6.338878154754639,9.3609619140625,120.99617004394531,0.35498046875,0.0029296875
fixed,5000,train,22.491130922257117,22.491130922257117,0.0,3.087441726464372,411.6061705105124,0.002045290452704334,31.807262317606142,411.6061705105124,137.33626109458277,4.074351384137793,60.282371520996094,0.024646997451782227,2.075035810470581,1.9518380165100098,222.18394470214844,0.01416015625,0.0029296875
fixed,5000,heldout,23.18488658792068,23.18488658792068,0.0,4.912009354278312,418.6507617058533,0.002077359470750611,32.78838098891231,418.6507617058533,120.31293906539548,5.5093354584655865,60.85145950317383,0.03556123748421669,2.9344992637634277,2.7833051681518555,204.90585327148438,0.0224609375,0.0029296875
moving,5000,train,19.083285002303242,40.20358990211357,35.35784006001665,0.7558748869715495,352.2918031718104,0.09715866662724686,26.98766557432789,352.2918031718104,60.51875456528723,0.8286228609852845,105.15553283691406,0.9624860882759094,11.500779151916504,11.362091064453125,111.25972747802734,0.62060546875,0.0029296875
moving,5000,heldout,19.230521217736253,42.10920644833033,37.3450940558248,1.1516755102392944,354.65205815003156,0.09662466417704593,27.195892268610734,354.65205815003156,74.69482086161136,0.8637471275054891,105.15507507324219,1.0122511386871338,10.748743057250977,12.877615928649902,158.8851776123047,0.6494140625,0.0029296875
fixed,6000,train,22.291162586979613,22.291162586979613,0.0,3.0995738095066785,407.8448722542545,0.000592601349041828,31.52446444600039,407.8448722542545,159.83620054469776,4.266473830230263,70.38664245605469,0.01782907173037529,2.851259469985962,2.116511106491089,282.7098388671875,0.011962890625,0.0029296875
fixed,6000,heldout,23.080300862939165,23.080300862939165,0.0,5.117182547070218,415.8323544059154,0.0006013211008889892,32.640474498481076,415.8323544059154,145.99265637317936,5.816156424546874,71.13565063476562,0.03253142908215523,3.9834823608398438,3.08591365814209,265.99603271484375,0.0224609375,0.0029296875
moving,6000,train,18.076329160697952,46.09648106389901,42.31857967075032,0.9485309506958467,333.5052019851364,0.23840649421162474,25.56267814989885,333.5052019851364,66.91630938720773,0.8359941730390077,124.31767272949219,1.3255078792572021,12.623414993286133,17.090848922729492,155.04966735839844,0.794921875,0.0029296875
moving,6000,heldout,18.175436301428793,48.15948248536405,44.43725178902151,1.2835405429904543,334.9590656845972,0.23704216345550697,25.70285549325863,334.9590656845972,76.63175668859442,0.8287041674494251,124.3177719116211,1.345973253250122,11.84135627746582,18.576990127563477,173.4581298828125,0.8037109375,0.0029296875
fixed,7000,train,22.13642973838978,22.13642973838978,0.0,3.098331497475143,404.96122744138177,0.0005768156125199971,31.30563915323593,404.96122744138177,171.4305876338519,4.4015459303293465,79.26625061035156,0.021298104897141457,4.34725284576416,2.265115737915039,318.0056457519531,0.01171875,0.0029296875
