arm,update,split,label_rmse,initial_label_rmse,label_drift_rms,interior_label_rmse,boundary_label_rmse,reset_label_rmse,rollout_label_rmse,boundary_value_rmse,hjb_rms,target_gap_rms,value_abs_max,eta_abs_mean,eta_abs_max,eta_abs_p50,eta_abs_p90,eta_abs_p99,state_gradient_norm_mean,state_gradient_norm_max,saturation_fraction,terminal_fraction
online,200,train,0.5525430822491626,0.5840237922468746,0.1269354419460611,0.07876333376389771,9.037726313050158,9.69737430403217e-05,0.7814139146949604,9.037726313050158,1.0258255966056495,0.09373726847420855,1.0580456256866455,0.00025052495766431093,0.002643479034304619,0.0001251136709470302,0.0006823869771324098,0.0019808781798928976,0.08607866615056992,0.5312871932983398,0.0,0.003662109375
online,200,heldout,0.54022330738421,0.5685512893898335,0.11947267717797777,0.07289152696767053,9.15615821463843,9.616095921396875e-05,0.763991121961073,9.15615821463843,1.0204968308267461,0.08707112823305502,1.0267226696014404,0.0002527328615542501,0.002048381371423602,0.00013657723320648074,0.0007174836937338114,0.001281810225918889,0.08297836780548096,0.5372192859649658,0.0,0.00341796875
fixed_labels,300,train,0.5763616253099404,0.5763616253099404,0.0,0.1493979616867882,9.199907573043035,0.0002207663043377964,0.815098397447861,9.199907573043035,0.9695482966038063,0.16025857694850146,0.9041809439659119,0.0002689546381589025,0.0037537328898906708,0.00010691881470847875,0.0007126929122023284,0.002127686282619834,0.07736101001501083,0.6482643485069275,0.0,0.003662109375
fixed_labels,300,heldout,0.5619404349038574,0.5619404349038574,0.0,0.14214920565213876,9.300308348772043,0.0002202411398295775,0.7947037537684801,9.300308348772043,0.9706249303790802,0.15118287012719647,0.8673386573791504,0.00025508913677185774,0.0035040315706282854,0.0001114913757191971,0.0007020559860393405,0.0018219425110146403,0.07383957505226135,0.6482643485069275,0.0,0.00341796875
moving_labels,300,train,0.49450482478045155,0.6188457792828416,0.29280437110651203,0.097524537007587,8.011661974379562,4.3029048093033276e-05,0.6993354285396896,8.011661974379562,2.122237777030469,0.1271191447561539,2.229539394378662,0.00043244517291896045,0.004489031620323658,0.00016554477042518556,0.0012037797132506967,0.003464961191639304,0.16823096573352814,1.41237211227417,0.0,0.003662109375
moving_labels,300,heldout,0.4928730195014303,0.6041052440413424,0.27642463629152725,0.08948883122220362,8.290813587781068,4.297184788172146e-05,0.6970277073820917,8.290813587781068,2.1295181576186573,0.11765950096131055,2.134779214859009,0.0004214915679767728,0.004664129577577114,0.00017458293586969376,0.0012224593665450811,0.0027954974211752415,0.16080544888973236,1.4234215021133423,0.0,0.00341796875
online,300,train,0.5022463158511882,0.6180128819679376,0.26711780249964595,0.11586926014422905,8.076432197322406,5.725670004201149e-05,0.7102835492209103,8.076432197322406,2.0310471099284335,0.14381536585130741,2.1489481925964355,0.0004220734117552638,0.004110431764274836,0.00016313631203956902,0.0011524178553372622,0.0032440288923680782,0.16125765442848206,1.3054581880569458,0.0,0.003662109375
online,300,heldout,0.4993912185649704,0.6025809488621504,0.25159965185493677,0.10636522376171598,8.346624612848185,5.7035071533695795e-05,0.7062458319215856,8.346624612848185,2.0344639416244794,0.13271019014874766,2.0654492378234863,0.00041226280154660344,0.003884888021275401,0.00017430097796022892,0.0011706072837114334,0.002791489940136671,0.1543721705675125,1.3182337284088135,0.0,0.00341796875
fixed_labels,400,train,0.5730920000536962,0.5730920000536962,0.0,0.14793139874987601,9.150446596935884,0.0002068713078158386,0.8104744525618026,9.150446596935884,1.0799881525831057,0.1598743415282553,0.9778297543525696,0.0003115558938588947,0.005518467631191015,0.00010389070666860789,0.0007389968377538025,0.003271272173151374,0.0839020237326622,0.8370795845985413,0.0,0.003662109375
fixed_labels,400,heldout,0.5596899057677863,0.5596899057677863,0.0,0.14132206149697818,9.264209288031783,0.00020672036185915204,0.7915210284656997,9.264209288031783,1.0830455948358502,0.1511088225942068,0.9336978793144226,0.00028414843836799264,0.00502789206802845,0.0001047880359692499,0.0007122506503947079,0.002778225112706423,0.07986585050821304,0.8348533511161804,0.0,0.00341796875
moving_labels,400,train,0.44731425559283544,0.6716927031171656,0.4301808252597514,0.09010172620927265,7.240800825456721,2.5644474060338104e-05,0.6325978863824206,7.240800825456721,3.0274963539452013,0.13134073210777722,3.1247870922088623,0.0005402162787504494,0.007641912437975407,0.0001641041599214077,0.001441420055925846,0.0047143506817519665,0.22482021152973175,2.201075553894043,0.0,0.003662109375
